response_id,response_time,participant_id,investment,trial
1,2024-12-02 10:52:41.467542,900,500,P1
2,2024-12-02 10:52:41.467542,900,300,1
3,2024-12-02 10:52:41.467542,900,200,2
4,2024-12-02 10:52:41.467542,900,0,3
5,2024-12-02 10:52:41.467542,900,0,4
6,2024-12-02 10:52:41.467542,900,0,5
7,2024-12-02 10:52:41.467542,900,200,6
8,2024-12-02 10:52:41.467542,900,100,7
9,2024-12-02 10:52:41.467542,900,200,8
10,2024-12-02 10:52:41.467542,900,100,9
11,2024-12-02 10:52:41.467542,900,100,10
12,2024-12-02 10:52:41.467542,900,100,11
13,2024-12-02 10:52:41.467542,900,0,12
14,2024-12-02 10:52:41.467542,900,0,13
15,2024-12-02 10:52:41.467542,900,0,14
16,2024-12-02 10:52:41.467542,900,0,15
17,2024-12-02 10:52:41.467542,900,100,16
18,2024-12-02 10:52:41.467542,900,100,17
19,2024-12-02 10:52:41.467542,900,100,18
20,2024-12-02 10:52:41.467542,900,100,19
21,2024-12-02 10:52:41.467542,900,100,20
22,2024-12-02 10:52:41.467542,900,100,21
23,2024-12-02 10:52:41.467542,900,100,22
24,2024-12-02 10:52:41.467542,900,100,23
25,2024-12-02 10:52:41.467542,900,100,24
26,2024-12-05 12:05:05.531599,902,500,P1
27,2024-12-05 12:05:05.531599,902,500,1
28,2024-12-05 12:05:05.531599,902,400,2
29,2024-12-05 12:05:05.531599,902,300,3
30,2024-12-05 12:05:05.531599,902,300,4
31,2024-12-05 12:05:05.531599,902,300,5
32,2024-12-05 12:52:00.998480,902,30,6
33,2024-12-05 12:52:00.998480,903,500,P1
34,2024-12-05 12:52:00.998480,903,300,1
