response_id,participant_id,investment,trial,response_time
1,900,50,P1,2024-12-09 10:40:30.035755
2,900,50,1,2024-12-09 10:49:49.394876
3,900,40,2,2024-12-09 10:49:54.891869
4,900,40,3,2024-12-09 10:49:59.134057
5,900,60,4,2024-12-09 10:52:17.271668
6,900,50,5,2024-12-09 10:52:19.345615
7,900,40,6,2024-12-09 10:52:20.696618
8,900,50,7,2024-12-09 10:52:23.046268
9,900,300,8,2024-12-09 10:52:26.557417
10,900,40,9,2024-12-09 10:52:28.587523
11,900,30,10,2024-12-09 10:52:30.541579
12,900,50,11,2024-12-09 10:52:33.604077
13,900,40,12,2024-12-09 10:52:39.166823
14,900,50,13,2024-12-09 10:52:43.011413
15,900,30,14,2024-12-09 10:52:46.580419
16,900,40,15,2024-12-09 10:52:48.961744
17,900,30,16,2024-12-09 10:52:51.152214
18,900,50,17,2024-12-09 10:52:52.993611
19,900,49,18,2024-12-09 10:52:55.069248
20,900,50,19,2024-12-09 10:52:58.908161
21,900,40,20,2024-12-09 10:53:02.139030
22,900,50,21,2024-12-09 10:53:04.588501
23,900,40,22,2024-12-09 10:53:07.278566
24,900,30,23,2024-12-09 10:53:09.321857
25,900,50,24,2024-12-09 10:53:11.598846
